date,ccsu gps tag start,section,transect start m,units measured,spring_beauty,trout_lily,d_breeches,mayflower,solomon_seal,bluebead,anenome_sp,red_trillium,white_violet,toothwort,beech_drops,viola_sp_2,foam_flower,starflower,partridgeberry
april 19 2010,122,1,0,cm covered,89,115,108,28,,,,14,,,,,,,
april 19 2010,123,1,10,cm covered,107,141,33,60,,,,3,,,,,,,
april 19 2010,124,1,20,cm covered,100,100,25,45,,10,5,,,,,,,,
april 19 2010,,1,30,cm covered,31,42,6,3,3,,,15,40,,,,,,
april 19 2010,,1,40,cm covered,50,61,26,,15,5,,,,,,,,,
april 19 2010,,1,50,cm covered,35,242,39,,,4,,,,,,,,,
april 19 2010,,1,60,cm covered,55,,19,,,60,,,,,,,,,
april 19 2010,,1,70,cm covered,41,40,5,,,,45,,,,,,,,
april 20 2010,,1,80,cm covered,20,20,12,,,,,10,,,,,,,
april 20 2010,,1,90,cm covered,90,143,,10,,,,10,,,,,,,
april 20 2010,,1,100,cm covered,140,190,,,,,,,,,,,,,
april 20 2010,,1,110,cm covered,120,115,,,,,,,,50,2,,,,
april 20 2010,,2,0,cm covered,15,100,,,7,,,,,,,,,,
april 20 2010,,2,10,cm covered,45,183,5,,5,,,5,,,,2,20,,
april 20 2010,,2,20,cm covered,90,72,100,5,,32,,5,,5,,,,,
april 20 2010,,2,30,cm covered,85,100,40,18,4,,,,,12,,,,3,
april 20 2010,,2,40,cm covered,35,20,25,50,,30,25,35,,,,,,4,20
