ccsu gps tag start,transect distance m,units measured,trout lily,solomons seal,bluebead,christmas fern,partridge berry,wood aster,unknown lion root,teaberry,striped wintergreen,non-forb grass,red trillium
73,10,cm covered,12,,,,,,,,,,
74,20,cm covered,,1,,,,,,,,,
75,30,cm covered,13,10,,,,,,,,,
76,40,cm covered,39,,12,4,,,,,,,
77,50,cm covered,46,,5,,2,5,,,,,
78,60,cm covered,2,,,,31,,,,2,,
79,70,cm covered,,,,33,,,,4,,,
80,80,cm covered,,,,,15,,,2,,,
81,90,cm covered,,,,,2,,,,,,
82,100,cm covered,,,,,,,4,,,,
83,110,cm covered,19,,24,55,,,,,,,
84,120,cm covered,77,,11,,,2,,,,20,
85,130,cm covered,43,3,12,6,,,,,,,
86,140,cm covered,,,,,,,,,,,
87,150,cm covered,,,,,,,,,,,
88,160,cm covered,10,,,,,,,,,,
89,170,cm covered,16,,,10,,,,,,,
90,180,cm covered,26,3,3,4,,,,,,,
91,190,cm covered,70,4,,,,,,,,,
92,200,cm covered,71,,95,,,,,,,3,11
