ccsu gps tag start,transect distance m,units measured,trout lily,solomons seal,unknown aster,unknown saxifrage,rue anenome,bloodroot,wood aster,dutchmans breeches,unknown purslane,unknown cinquefoil,wood fern,unknown violet,unknown lion's foot,christmas fern,false hellebore,dwarf ginseng,unknown water herb,canada mayflower
96,10,cm covered,46,8,5,3,,,,,,,,,,,,,,
,20,cm covered,42,6,,,34,4,10,5,15,4,,,,,,,,
,30,cm covered,59,6,,,,,11,,,4,5,,,,,,,
,40,cm covered,117,,,,3,,,,5,,,9,5,,,,,
,50,cm covered,77,4,,,,,,,,,,,,21,,,,
,60,cm covered,16,4,,,,,,,,,,,5,,,,,
,70,cm covered,,,,,,,2,,,,,28,,10,,,,
,80,cm covered,22,2,,,,,,,,,,,,,6,,,
,90,cm covered,15,,,,,,,,,,,,,,10,17,,
,100,cm covered,19,,,,,,,,,,,,,,,,,
,110,cm covered,12,,,,,,,,,,,,4,,,,,
,120,cm covered,26,,,,,,4,,,,,,,,,,,
,130,cm covered,61,,,,,,,,,,,,,,,7,,
,140,cm covered,25,,,,,,,,,,,,,,,,5,
,150,cm covered,31,,,,,,2,,,,,,15,,,,,
,160,cm covered,14,,,,,,8,,,,,,,,,8,,3
,170,cm covered,32,,,,,,,,,,6,2,,,20,,,
